w_val,q2_val,gen_events,weight,rec_events,weight_rec,flux,cross_section,formfactor,cs_scaled
2.175,4.6,301072,20.76722,45051,2.98751,7e-05,1.05721,1.14412,1.20957
2.175,5.5,375328,12.28042,57875,1.81025,4e-05,0.75669,1.0887,0.82381
2.175,6.5,374395,5.93002,56958,0.8555,3e-05,0.54642,1.03836,0.56738
2.175,7.5,368884,3.10954,52124,0.40936,2e-05,0.41421,0.99647,0.41275
2.175,8.5,359206,1.74881,44086,0.19887,1e-05,0.32843,0.96082,0.31556
2.175,10.0,616862,1.67652,53723,0.13662,1e-05,0.27898,0.91596,0.25554
2.225,2.2,150581,158.73234,13316,12.83705,0.0003,3.5079,1.38479,4.8577
2.225,2.7,225878,119.85641,25610,12.46839,0.0002,2.60398,1.31678,3.42887
2.225,3.25,187568,49.8317,25198,6.21556,0.00014,1.88739,1.25573,2.37004
2.225,3.85,263190,37.02971,38112,4.94978,0.0001,1.4238,1.20075,1.70963
2.225,4.6,300304,20.62083,46264,2.99337,7e-05,1.02459,1.14412,1.17225
2.225,5.5,375968,12.37334,59126,1.82441,4e-05,0.7378,1.0887,0.80324
2.225,6.5,374674,6.02703,57239,0.8482,3e-05,0.53579,1.03836,0.55634
2.225,7.5,368803,3.14683,52231,0.40725,2e-05,0.4034,0.99647,0.40198
2.225,8.5,354880,1.75809,44115,0.19441,2e-05,0.32056,0.96082,0.308
2.225,10.0,608118,1.68753,50032,0.12721,1e-05,0.27211,0.91596,0.24924
2.275,2.2,150638,157.92062,13589,12.72153,0.0003,3.46661,1.38479,4.80053
2.275,2.7,225302,119.59533,26422,12.64517,0.00021,2.57572,1.31678,3.39164
2.275,3.25,188479,50.50507,25629,6.24625,0.00014,1.87382,1.25573,2.35301
2.275,3.85,262913,37.44584,39006,5.03413,0.0001,1.41293,1.20075,1.69657
2.275,4.6,299994,21.20703,47046,2.99961,7e-05,1.02959,1.14412,1.17798
2.275,5.5,374398,12.68871,59459,1.83881,5e-05,0.73844,1.0887,0.80393
2.275,6.5,374125,6.14686,57766,0.84481,3e-05,0.52974,1.03836,0.55006
2.275,7.5,367262,3.22379,52338,0.40506,2e-05,0.40033,0.99647,0.39892
2.275,8.5,350936,1.81451,43630,0.19189,2e-05,0.32174,0.96082,0.30913
2.275,10.0,595391,1.73483,45917,0.12119,1e-05,0.27362,0.91596,0.25062
2.325,2.2,149320,154.64777,13996,12.83894,0.0003,3.41047,1.38479,4.72278
2.325,2.7,224879,118.31029,27270,12.64332,0.00021,2.52994,1.31678,3.33137
2.325,3.25,187799,50.6222,26340,6.35119,0.00014,1.85982,1.25573,2.33543
2.325,3.85,262894,37.64135,39812,5.07364,0.0001,1.39579,1.20075,1.67599
