w_val,q2_val,exp_events,flux,weight,cross_section,formfactor,cs_scaled
2.175,7.5,1946,0.00002,1946.00000,49137.81727,0.99647,48964.46851
2.175,8.5,805,0.00001,805.00000,67459.78733,0.96082,64816.92013
2.175,9.5,321,0.00001,321.00000,89838.41593,0.92994,83544.51087
2.175,10.5,80,0.00001,80.00000,116582.92618,0.90281,105252.19827
2.225,2.2,45399,0.00030,45399.00000,3327.75791,1.38479,4608.24083
2.225,2.7,57890,0.00020,57890.00000,4907.39107,1.31678,6461.94255
2.225,3.25,32425,0.00014,32425.00000,7104.17361,1.25573,8920.91857
2.225,3.85,27755,0.00010,27755.00000,10119.72877,1.20075,12151.25441
2.225,4.6,16542,0.00007,16542.00000,14921.20820,1.14412,17071.70507
2.225,5.5,9779,0.00004,9779.00000,22418.17923,1.08870,24406.62776
2.225,6.5,4432,0.00003,4432.00000,33307.60055,1.03836,34585.21889
2.225,7.5,2142,0.00002,2142.00000,47277.69614,0.99647,47110.90953
2.225,8.5,828,0.00002,828.00000,64706.98063,0.96082,62171.95993
2.225,9.5,354,0.00001,354.00000,85931.94434,0.92994,79911.71910
2.225,10.5,80,0.00001,80.00000,111225.24181,0.90281,100415.22878
2.275,2.2,47909,0.00030,47909.00000,3306.74882,1.38479,4579.14768
2.275,2.7,60993,0.00021,60993.00000,4852.31103,1.31678,6389.41439
2.275,3.25,34175,0.00014,34175.00000,6992.87595,1.25573,8781.15884
2.275,3.85,29199,0.00010,29199.00000,9920.37070,1.20075,11911.87541
2.275,4.6,17443,0.00007,17443.00000,14564.59194,1.14412,16663.69203
2.275,5.5,10487,0.00005,10487.00000,21788.60165,1.08870,23721.20788
2.275,6.5,4760,0.00003,4760.00000,32242.24023,1.03836,33478.99331
2.275,7.5,2220,0.00002,2220.00000,45606.40714,0.99647,45445.51652
2.275,8.5,912,0.00002,912.00000,62226.14169,0.96082,59788.31264
2.275,9.5,339,0.00001,339.00000,82403.82222,0.92994,76630.77037
